"from","to"
"Escherichia.coli.PTR","ARO.3002641APH.3...Ia"
"Escherichia.coli.PTR","ARO.3004572Staphylococcys"
"Escherichia.coli.PTR","ARO.3003773Clostridium"
"Escherichia.coli.PTR","ARO.3000215mecR1"
"Escherichia.coli.PTR","ARO.3000621PC1"
"Escherichia.coli.PTR","ARO.3001329mdtG"
"Escherichia.coli.PTR","ARO.3003730Bifidobacteria"
"Escherichia.coli.PTR","ARO.3002647APH.3...IIIa"
"Escherichia.coli.PTR","ARO.3001327mdtK"
"Escherichia.coli.PTR","ARO.3003838gadW"
"Escherichia.coli.PTR","ARO.3000254emrY"
"Escherichia.coli.PTR","ARO.3000206emrK"
"Escherichia.coli.PTR","ARO.3004667Staphylococcus"
"Escherichia.coli.PTR","ARO.3000924TEM.55"
"Escherichia.coli.PTR","ARO.3004042Enterobacter"
"Escherichia.coli.PTR","ARO.3002830vgaALC"
"Escherichia.coli.PTR","ARO.3001030TEM.164"
"Escherichia.coli.PTR","ARO.3003922oqxA"
"Escherichia.coli.PTR","ARO.3003923oqxB"
"Escherichia.coli.PTR","ARO.3002804FosA2"
"Escherichia.coli.PTR","ARO.3001029TEM.163"
"Escherichia.coli.PTR","ARO.3001032TEM.166"
"Escherichia.coli.PTR","ARO.3000237tolC"
"Escherichia.coli.PTR","ARO.3004611Escherichia"
"Escherichia.coli.PTR","ARO.3003905ANT.4...Ib"
"Escherichia.coli.PTR","ARO.3000903TEM.33"
"Escherichia.coli.PTR","ARO.3001041TEM.176"
"Escherichia.coli.PTR","ARO.3002597AAC.6...Ie.APH.2....Ia"
"Escherichia.coli.PTR","ARO.3001394TEM.217"
"Escherichia.coli.PTR","ARO.3003949efrB"
"Escherichia.coli.PTR","ARO.3000410sul1"
"Escherichia.coli.PTR","ARO.3001046TEM.186"
"Escherichia.coli.PTR","ARO.3001328Escherichia"
"Escherichia.coli.PTR","ARO.3000823ramA"
"Escherichia.coli.PTR","ARO.3001378TEM.201"
"Escherichia.coli.PTR","ARO.3001837ACT.15"
"Escherichia.coli.PTR","ARO.3000617mecA"
"Escherichia.coli.PTR","ARO.3000904TEM.34"
"Escherichia.coli.PTR","ARO.3001383TEM.206"
"Escherichia.coli.PTR","ARO.3001384TEM.207"
"Escherichia.coli.PTR","ARO.3001385TEM.208"
"Escherichia.coli.PTR","ARO.3001386TEM.209"
"Escherichia.coli.PTR","ARO.3001393TEM.216"
"Escherichia.coli.PTR","ARO.3001838ACT.17"
"Escherichia.coli.PTR","ARO.3001839ACT.18"
"Escherichia.coli.PTR","ARO.3001847ACT.27"
"Escherichia.coli.PTR","ARO.3001852ACT.32"
"Escherichia.coli.PTR","ARO.3003158TEM.220"
"Escherichia.coli.PTR","ARO.3001391TEM.214"
"Escherichia.coli.PTR","ARO.3003209FosA5"
"Escherichia.coli.PTR","ARO.3004111FosA6"
"Escherichia.coli.PTR","ARO.3004442tet.W.N.W."
"Escherichia.coli.PTR","ARO.3000378MexB"
"Escherichia.coli.PTR","ARO.3000180tetA.P."
"Escherichia.coli.PTR","ARO.3000195tetB.P."
"Escherichia.coli.PTR","ARO.3001855ACT.35"
"Escherichia.coli.PTR","ARO.3000250ErmC"
"Escherichia.coli.PTR","ARO.3000190tetO"
"Escherichia.coli.PTR","ARO.3000596ErmX"
"Escherichia.coli.PTR","ARO.3002829vgaA"
"Escherichia.coli.PTR","ARO.3004290Escherichia"
"Escherichia.coli.PTR","ARO.3004480Bifidobacterium"
"Escherichia.coli.PTR","ARO.3003948efrA"
"Escherichia.coli.PTR","ARO.3000516emrR"
"Escherichia.coli.PTR","ARO.3003950msbA"
"Escherichia.coli.PTR","ARO.3003952yojI"
"Escherichia.coli.PTR","ARO.3002986bacA"
"Escherichia.coli.PTR","ARO.3004290Escherichia.1"
"Escherichia.coli.PTR","ARO.3001214mdtM"
"Escherichia.coli.PTR","ARO.3000216acrB"
"Escherichia.coli.PTR","ARO.3004043Escherichia"
"Escherichia.coli.PTR","ARO.3003841kdpE"
"Escherichia.coli.PTR","ARO.3000792mdtA"
"Escherichia.coli.PTR","ARO.3000793mdtB"
"Escherichia.coli.PTR","ARO.3000794mdtC"
"Escherichia.coli.PTR","ARO.3003578pmrF"
"Escherichia.coli.PTR","ARO.3000833evgS"
"Escherichia.coli.PTR","ARO.3000074emrB"
"Escherichia.coli.PTR","ARO.3000499acrE"
"Escherichia.coli.PTR","ARO.3000502acrF"
"Escherichia.coli.PTR","ARO.3000796mdtF"
"Escherichia.coli.PTR","ARO.3001216mdtH"
"Escherichia.coli.PTR","ARO.3003577ugd"
"Escherichia.coli.PTR","ARO.3000656acrS"
